timestamp,bpf_block_irq,bpf_cpu_time_us,bpf_net_rx_irq,bpf_net_tx_irq,bpf_page_cache_hit,platform_power,node_type
1699526909,0.3333333333333333,3007.6666666666665,314.0,0,5.0,224.0,1
1699526912,0.0,2189.6666666666665,483.66666666666663,0,42.0,216.0,1
1699526915,0.3333333333333333,1976.6666666666665,456.33333333333337,0,4.666666666666667,210.0,1
1699526918,0.0,1571.3333333333333,294.6666666666667,0,0.0,204.0,1
1699526921,0.0,1386.6666666666667,223.33333333333334,0,0.0,205.0,1
1699526924,0.0,1397.0,235.33333333333334,0,7.0,201.0,1
1699526927,1.3333333333333333,1416.0,287.0,0,2.3333333333333335,205.0,1
1699526930,0.3333333333333333,1405.3333333333335,228.0,0,0.0,203.0,1
1699526933,0.3333333333333333,1406.0,225.33333333333334,0,0.3333333333333333,203.0,1
1699526936,0.3333333333333333,1400.3333333333333,226.66666666666669,0,4.666666666666667,204.0,1
1699526939,0.3333333333333333,1412.6666666666667,221.66666666666669,0,0.0,203.0,1
1699526942,0.3333333333333333,1390.3333333333335,232.33333333333334,0,2.0,203.0,1
1699526945,1.3333333333333333,1437.3333333333335,313.33333333333337,0,7.666666666666667,202.0,1
1699526948,0.0,1402.3333333333333,247.33333333333334,0,2.6666666666666665,203.0,1
1699526951,0.3333333333333333,1408.0,231.33333333333331,0,2.6666666666666665,202.0,1
1699526954,0.3333333333333333,1399.6666666666665,220.33333333333331,0,0.3333333333333333,204.0,1
1699526957,0.0,2126.0,315.66666666666663,0,29.333333333333332,231.0,1
1699526960,0.3333333333333333,2386.3333333333335,216.33333333333334,0,0.0,235.0,1
1699526963,0.0,2367.333333333333,224.66666666666666,0,0.3333333333333333,228.0,1
1699526966,0.3333333333333333,2363.0,209.66666666666666,0,4.333333333333333,244.0,1
1699526969,0.3333333333333333,2375.333333333333,223.66666666666669,0,1.6666666666666667,235.0,1
1699526972,0.3333333333333333,2401.6666666666665,218.66666666666666,0,2.3333333333333335,234.0,1
1699526975,0.3333333333333333,2402.333333333333,211.66666666666666,0,5.0,239.0,1
1699526978,0.3333333333333333,2403.0,197.33333333333334,0,0.3333333333333333,236.0,1
1699526981,0.3333333333333333,2363.666666666667,193.0,0,0.0,233.0,1
1699526984,0.3333333333333333,2511.666666666667,189.0,0,0.6666666666666666,240.0,1
1699526987,1.6666666666666667,1485.6666666666665,278.66666666666663,0,10.333333333333334,221.0,1
1699526990,0.3333333333333333,1411.6666666666667,247.66666666666666,0,0.0,205.0,1
1699526993,0.3333333333333333,1411.0,219.66666666666669,0,0.3333333333333333,201.0,1
1699526996,0.3333333333333333,1390.0,231.66666666666669,0,4.333333333333333,202.0,1
1699526999,0.3333333333333333,1452.6666666666667,290.3333333333333,0,23.333333333333332,205.0,1
1699527002,0.6666666666666666,3309.6666666666665,235.0,0,1.0,244.0,1
1699527005,0.0,3317.666666666667,212.33333333333334,0,0.6666666666666666,244.0,1
1699527008,0.3333333333333333,3321.0,212.33333333333334,0,6.0,242.0,1
1699527011,0.3333333333333333,3292.6666666666665,216.0,0,0.3333333333333333,242.0,1
1699527014,0.3333333333333333,3307.0,194.33333333333334,0,1.0,246.0,1
1699527017,0.3333333333333333,3367.666666666667,232.0,0,6.333333333333333,243.0,1
1699527020,0.3333333333333333,3300.0,215.0,0,0.3333333333333333,246.0,1
1699527023,0.0,3333.333333333333,210.0,0,2.0,244.0,1
1699527026,0.0,3305.333333333333,201.33333333333334,0,0.3333333333333333,244.0,1
1699527029,0.3333333333333333,3354.3333333333335,215.0,0,5.333333333333333,243.0,1
1699527032,1.3333333333333333,1413.0,290.66666666666663,0,7.666666666666667,210.0,1
1699527035,0.3333333333333333,1449.0,241.66666666666669,0,0.3333333333333333,203.0,1
1699527038,0.3333333333333333,1423.6666666666667,242.66666666666666,0,6.666666666666667,204.0,1
1699527041,0.3333333333333333,1395.6666666666667,212.66666666666666,0,0.0,204.0,1
1699527044,0.3333333333333333,1452.6666666666665,299.3333333333333,0,27.0,209.0,1
1699527047,0.3333333333333333,5196.666666666667,238.33333333333334,0,6.0,224.0,1
1699527050,0.6666666666666666,5161.0,219.33333333333334,0,0.3333333333333333,228.0,1
1699527053,0.0,5227.333333333333,213.66666666666669,0,4.333333333333333,226.0,1
1699527056,0.3333333333333333,5131.0,219.66666666666666,0,0.0,236.0,1
1699527059,0.3333333333333333,5161.333333333333,228.33333333333331,0,4.333333333333333,228.0,1
1699527062,0.3333333333333333,5155.333333333333,234.66666666666669,0,0.3333333333333333,229.0,1
1699527065,0.6666666666666666,5171.666666666666,227.33333333333331,0,0.6666666666666666,233.0,1
